realtime_start,realtime_end,date,value
2023-04-30,2023-04-30,2009-07-01,8411.6
2023-04-30,2023-04-30,2009-08-01,8385.4
2023-04-30,2023-04-30,2009-09-01,8397.4
2023-04-30,2023-04-30,2009-10-01,8422.5
2023-04-30,2023-04-30,2009-11-01,8489.8
2023-04-30,2023-04-30,2009-12-01,8546.7
2023-04-30,2023-04-30,2010-01-01,8479.2
2023-04-30,2023-04-30,2010-02-01,8487.3
2023-04-30,2023-04-30,2010-03-01,8566.1
2023-04-30,2023-04-30,2010-04-01,8611.6
2023-04-30,2023-04-30,2010-05-01,8577.7
2023-04-30,2023-04-30,2010-06-01,8609.0
2023-04-30,2023-04-30,2010-07-01,8577.9
2023-04-30,2023-04-30,2010-08-01,8601.8
2023-04-30,2023-04-30,2010-09-01,8650.6
2023-04-30,2023-04-30,2010-10-01,8703.7
2023-04-30,2023-04-30,2010-11-01,8762.4
2023-04-30,2023-04-30,2010-12-01,8852.4
2023-04-30,2023-04-30,2011-01-01,8853.1
2023-04-30,2023-04-30,2011-02-01,8887.1
2023-04-30,2023-04-30,2011-03-01,8998.9
2023-04-30,2023-04-30,2011-04-01,9064.6
2023-04-30,2023-04-30,2011-05-01,9018.3
2023-04-30,2023-04-30,2011-06-01,9103.0
2023-04-30,2023-04-30,2011-07-01,9238.3
2023-04-30,2023-04-30,2011-08-01,9445.0
2023-04-30,2023-04-30,2011-09-01,9497.7
2023-04-30,2023-04-30,2011-10-01,9544.4
2023-04-30,2023-04-30,2011-11-01,9632.9
2023-04-30,2023-04-30,2011-12-01,9709.3
2023-04-30,2023-04-30,2012-01-01,9768.8
2023-04-30,2023-04-30,2012-02-01,9781.3
2023-04-30,2023-04-30,2012-03-01,9891.9
2023-04-30,2023-04-30,2012-04-01,9947.4
2023-04-30,2023-04-30,2012-05-01,9883.2
2023-04-30,2023-04-30,2012-06-01,9950.8
2023-04-30,2023-04-30,2012-07-01,10000.1
2023-04-30,2023-04-30,2012-08-01,10063.5
2023-04-30,2023-04-30,2012-09-01,10150.9
2023-04-30,2023-04-30,2012-10-01,10228.2
2023-04-30,2023-04-30,2012-11-01,10341.2
2023-04-30,2023-04-30,2012-12-01,10513.0
2023-04-30,2023-04-30,2013-01-01,10516.4
2023-04-30,2023-04-30,2013-02-01,10470.2
2023-04-30,2023-04-30,2013-03-01,10595.1
2023-04-30,2023-04-30,2013-04-01,10668.2
2023-04-30,2023-04-30,2013-05-01,10575.4
2023-04-30,2023-04-30,2013-06-01,10633.8
2023-04-30,2023-04-30,2013-07-01,10677.5
2023-04-30,2023-04-30,2013-08-01,10731.1
2023-04-30,2023-04-30,2013-09-01,10799.5
2023-04-30,2023-04-30,2013-10-01,10932.8
2023-04-30,2023-04-30,2013-11-01,10965.7
2023-04-30,2023-04-30,2013-12-01,11089.2
2023-04-30,2023-04-30,2014-01-01,11111.1
2023-04-30,2023-04-30,2014-02-01,11137.5
2023-04-30,2023-04-30,2014-03-01,11266.0
2023-04-30,2023-04-30,2014-04-01,11337.9
2023-04-30,2023-04-30,2014-05-01,11264.6
2023-04-30,2023-04-30,2014-06-01,11334.3
2023-04-30,2023-04-30,2014-07-01,11391.1
2023-04-30,2023-04-30,2014-08-01,11419.2
2023-04-30,2023-04-30,2014-09-01,11458.5
2023-04-30,2023-04-30,2014-10-01,11542.8
2023-04-30,2023-04-30,2014-11-01,11595.7
2023-04-30,2023-04-30,2014-12-01,11739.1
2023-04-30,2023-04-30,2015-01-01,11762.0
2023-04-30,2023-04-30,2015-02-01,11821.4
2023-04-30,2023-04-30,2015-03-01,11945.7
2023-04-30,2023-04-30,2015-04-01,12023.0
2023-04-30,2023-04-30,2015-05-01,11898.9
2023-04-30,2023-04-30,2015-06-01,11953.1
2023-04-30,2023-04-30,2015-07-01,12016.0
2023-04-30,2023-04-30,2015-08-01,12062.6
2023-04-30,2023-04-30,2015-09-01,12139.0
2023-04-30,2023-04-30,2015-10-01,12158.0
2023-04-30,2023-04-30,2015-11-01,12288.0
2023-04-30,2023-04-30,2015-12-01,12422.7
2023-04-30,2023-04-30,2016-01-01,12484.2
2023-04-30,2023-04-30,2016-02-01,12505.2
2023-04-30,2023-04-30,2016-03-01,12678.8
2023-04-30,2023-04-30,2016-04-01,12791.5
2023-04-30,2023-04-30,2016-05-01,12704.0
2023-04-30,2023-04-30,2016-06-01,12786.1
2023-04-30,2023-04-30,2016-07-01,12841.4
2023-04-30,2023-04-30,2016-08-01,12931.9
2023-04-30,2023-04-30,2016-09-01,13013.5
2023-04-30,2023-04-30,2016-10-01,13071.2
2023-04-30,2023-04-30,2016-11-01,13190.8
2023-04-30,2023-04-30,2016-12-01,13284.6
2023-04-30,2023-04-30,2017-01-01,13292.8
2023-04-30,2023-04-30,2017-02-01,13299.6
2023-04-30,2023-04-30,2017-03-01,13480.4
2023-04-30,2023-04-30,2017-04-01,13589.0
2023-04-30,2023-04-30,2017-05-01,13466.5
2023-04-30,2023-04-30,2017-06-01,13520.1
2023-04-30,2023-04-30,2017-07-01,13577.9
2023-04-30,2023-04-30,2017-08-01,13653.2
2023-04-30,2023-04-30,2017-09-01,13699.1
2023-04-30,2023-04-30,2017-10-01,13744.2
2023-04-30,2023-04-30,2017-11-01,13818.1
2023-04-30,2023-04-30,2017-12-01,13928.4
2023-04-30,2023-04-30,2018-01-01,13884.2
2023-04-30,2023-04-30,2018-02-01,13839.3
2023-04-30,2023-04-30,2018-03-01,14005.4
2023-04-30,2023-04-30,2018-04-01,14078.8
2023-04-30,2023-04-30,2018-05-01,13975.6
2023-04-30,2023-04-30,2018-06-01,14067.0
2023-04-30,2023-04-30,2018-07-01,14106.0
2023-04-30,2023-04-30,2018-08-01,14161.0
2023-04-30,2023-04-30,2018-09-01,14198.8
2023-04-30,2023-04-30,2018-10-01,14199.9
2023-04-30,2023-04-30,2018-11-01,14242.1
2023-04-30,2023-04-30,2018-12-01,14433.9
2023-04-30,2023-04-30,2019-01-01,14434.4
2023-04-30,2023-04-30,2019-02-01,14387.6
2023-04-30,2023-04-30,2019-03-01,14546.4
2023-04-30,2023-04-30,2019-04-01,14628.2
2023-04-30,2023-04-30,2019-05-01,14561.3
2023-04-30,2023-04-30,2019-06-01,14718.5
2023-04-30,2023-04-30,2019-07-01,14801.8
2023-04-30,2023-04-30,2019-08-01,14888.7
2023-04-30,2023-04-30,2019-09-01,14978.5
2023-04-30,2023-04-30,2019-10-01,15108.4
2023-04-30,2023-04-30,2019-11-01,15238.7
2023-04-30,2023-04-30,2019-12-01,15396.9
2023-04-30,2023-04-30,2020-01-01,15409.6
2023-04-30,2023-04-30,2020-02-01,15360.3
2023-04-30,2023-04-30,2020-03-01,15947.7
2023-04-30,2023-04-30,2020-04-01,17047.9
2023-04-30,2023-04-30,2020-05-01,17698.9
2023-04-30,2023-04-30,2020-06-01,18060.2
2023-04-30,2023-04-30,2020-07-01,18257.3
2023-04-30,2023-04-30,2020-08-01,18299.6
2023-04-30,2023-04-30,2020-09-01,18536.9
2023-04-30,2023-04-30,2020-10-01,18655.5
2023-04-30,2023-04-30,2020-11-01,18950.4
2023-04-30,2023-04-30,2020-12-01,19229.0
2023-04-30,2023-04-30,2021-01-01,19365.0
2023-04-30,2023-04-30,2021-02-01,19467.5
2023-04-30,2023-04-30,2021-03-01,19870.0
2023-04-30,2023-04-30,2021-04-01,20266.2
2023-04-30,2023-04-30,2021-05-01,20306.7
2023-04-30,2023-04-30,2021-06-01,20424.0
2023-04-30,2023-04-30,2021-07-01,20539.0
2023-04-30,2023-04-30,2021-08-01,20729.0
2023-04-30,2023-04-30,2021-09-01,20909.6
2023-04-30,2023-04-30,2021-10-01,21065.1
2023-04-30,2023-04-30,2021-11-01,21291.8
2023-04-30,2023-04-30,2021-12-01,21633.1
2023-04-30,2023-04-30,2022-01-01,21638.6
2023-04-30,2023-04-30,2022-02-01,21582.3
2023-04-30,2023-04-30,2022-03-01,21841.3
2023-04-30,2023-04-30,2022-04-01,21906.7
2023-04-30,2023-04-30,2022-05-01,21558.7
2023-04-30,2023-04-30,2022-06-01,21575.1
2023-04-30,2023-04-30,2022-07-01,21579.1
2023-04-30,2023-04-30,2022-08-01,21559.5
2023-04-30,2023-04-30,2022-09-01,21483.3
2023-04-30,2023-04-30,2022-10-01,21392.7
2023-04-30,2023-04-30,2022-11-01,21395.9
2023-04-30,2023-04-30,2022-12-01,21440.1
2023-04-30,2023-04-30,2023-01-01,21299.7
2023-04-30,2023-04-30,2023-02-01,21113.2
2023-04-30,2023-04-30,2023-03-01,21004.2
2023-04-30,2023-04-30,2023-04-01,.
