realtime_start,realtime_end,date,value
2023-04-30,2023-04-30,1996-10-01,8259.771
2023-04-30,2023-04-30,1997-01-01,8362.655
2023-04-30,2023-04-30,1997-04-01,8518.825
2023-04-30,2023-04-30,1997-07-01,8662.823
2023-04-30,2023-04-30,1997-10-01,8765.907
2023-04-30,2023-04-30,1998-01-01,8866.48
2023-04-30,2023-04-30,1998-04-01,8969.699
2023-04-30,2023-04-30,1998-07-01,9121.097
2023-04-30,2023-04-30,1998-10-01,9293.991
2023-04-30,2023-04-30,1999-01-01,9411.682
2023-04-30,2023-04-30,1999-04-01,9526.21
2023-04-30,2023-04-30,1999-07-01,9686.626
2023-04-30,2023-04-30,1999-10-01,9900.169
2023-04-30,2023-04-30,2000-01-01,10002.179
2023-04-30,2023-04-30,2000-04-01,10247.72
2023-04-30,2023-04-30,2000-07-01,10318.165
2023-04-30,2023-04-30,2000-10-01,10435.744
2023-04-30,2023-04-30,2001-01-01,10470.231
2023-04-30,2023-04-30,2001-04-01,10599.0
2023-04-30,2023-04-30,2001-07-01,10598.02
2023-04-30,2023-04-30,2001-10-01,10660.465
2023-04-30,2023-04-30,2002-01-01,10783.5
2023-04-30,2023-04-30,2002-04-01,10887.46
2023-04-30,2023-04-30,2002-07-01,10984.04
2023-04-30,2023-04-30,2002-10-01,11061.433
2023-04-30,2023-04-30,2003-01-01,11174.129
2023-04-30,2023-04-30,2003-04-01,11312.766
2023-04-30,2023-04-30,2003-07-01,11566.669
2023-04-30,2023-04-30,2003-10-01,11772.234
2023-04-30,2023-04-30,2004-01-01,11923.447
2023-04-30,2023-04-30,2004-04-01,12112.815
2023-04-30,2023-04-30,2004-07-01,12305.307
2023-04-30,2023-04-30,2004-10-01,12527.214
2023-04-30,2023-04-30,2005-01-01,12767.286
2023-04-30,2023-04-30,2005-04-01,12922.656
2023-04-30,2023-04-30,2005-07-01,13142.642
2023-04-30,2023-04-30,2005-10-01,13324.204
2023-04-30,2023-04-30,2006-01-01,13599.16
2023-04-30,2023-04-30,2006-04-01,13753.424
2023-04-30,2023-04-30,2006-07-01,13870.188
2023-04-30,2023-04-30,2006-10-01,14039.56
2023-04-30,2023-04-30,2007-01-01,14215.651
2023-04-30,2023-04-30,2007-04-01,14402.082
2023-04-30,2023-04-30,2007-07-01,14564.117
2023-04-30,2023-04-30,2007-10-01,14715.058
2023-04-30,2023-04-30,2008-01-01,14706.538
2023-04-30,2023-04-30,2008-04-01,14865.701
2023-04-30,2023-04-30,2008-07-01,14898.999
2023-04-30,2023-04-30,2008-10-01,14608.208
2023-04-30,2023-04-30,2009-01-01,14430.901
2023-04-30,2023-04-30,2009-04-01,14381.236
2023-04-30,2023-04-30,2009-07-01,14448.882
2023-04-30,2023-04-30,2009-10-01,14651.248
2023-04-30,2023-04-30,2010-01-01,14764.611
2023-04-30,2023-04-30,2010-04-01,14980.193
2023-04-30,2023-04-30,2010-07-01,15141.605
2023-04-30,2023-04-30,2010-10-01,15309.471
2023-04-30,2023-04-30,2011-01-01,15351.444
2023-04-30,2023-04-30,2011-04-01,15557.535
2023-04-30,2023-04-30,2011-07-01,15647.681
2023-04-30,2023-04-30,2011-10-01,15842.267
2023-04-30,2023-04-30,2012-01-01,16068.824
2023-04-30,2023-04-30,2012-04-01,16207.13
2023-04-30,2023-04-30,2012-07-01,16319.54
2023-04-30,2023-04-30,2012-10-01,16420.386
2023-04-30,2023-04-30,2013-01-01,16629.05
2023-04-30,2023-04-30,2013-04-01,16699.551
2023-04-30,2023-04-30,2013-07-01,16911.068
2023-04-30,2023-04-30,2013-10-01,17133.114
2023-04-30,2023-04-30,2014-01-01,17144.281
2023-04-30,2023-04-30,2014-04-01,17462.703
2023-04-30,2023-04-30,2014-07-01,17743.227
